Name,Wiki Summary
Wall Street Journal,"The Wall Street Journal, also known as The Journal or WSJ, is an American business-focused, English-language international daily newspaper based in New York City, with international editions also available in Chinese and Japanese. The Journal, along with its Asian editions, is published six days a week by Dow Jones & Company, a division of News Corp."
Reince Priebus,"Reinhold Richard ""Reince"" Priebus ( RYNSSE PREE-bəs; born March 18, 1972) is an American lawyer and politician who served as White House Chief of Staff for President Donald Trump from January 20, 2017, until July 31, 2017. He also served as the chairman of the Republican National Committee (RNC) from 2011 to 2017."
Mohammad Reza Naqdi,"Mohammad Reza Naqdi (Persian: محمدرضا نقدی) is a senior officer in the Revolutionary Guards.


== Background ==
According to the biography published by the semi-official Fars News Agency, Naqdi was born in March 1961 in a middle-class religious family in Shapour neighbourhood of Tehran."
Robert Capers,"Robert S. Capers (born July 15, 1949) is an American journalist.
Capers won the 1992 Pulitzer Prize for Explanatory Reporting with Eric Lipton for a series about the Hubble Space Telescope that illustrated many of the problems with America's space program."
Omri Ceren,"Omri Ceren is the national security advisor for U.S. Senator Ted Cruz since April 5, 2018.He is a former Managing Director of The Israel Project and political blogger.He came to international attention when he uncovered that Human Rights Watch military analyst Marc Garlasco was an ""avid collector"" of Nazi memorabilia and published the information on his blog Mere Rhetoric.Ceren's blog focuses on the cultural, geopolitical, and economic aspects of the struggle between Western civilization and political Islam.He received a doctorate in Rhetoric at the University of Southern California's Annenberg School for Communication and is a graduate of the University of Pittsburgh.Ceren has written for The Jewish Journal of Greater Los Angeles, and has contributed op-eds to other publications.He also drew controversy for criticism of former American President Jimmy Carter's position on the 2006 Israel-Hezbollah conflict in Lebanon  and his defense of Ann Coulter against charges of anti-Semitism."
Sue Cange,"Magna Carta Libertatum (Medieval Latin for ""Great Charter of Freedoms""), commonly called Magna Carta (also Magna Charta; ""Great Charter""), is a royal charter of rights agreed to by King John of England at Runnymede, near Windsor, on 15 June 1215. First drafted by Archbishop of Canterbury Stephen Langton to make peace between the unpopular king and a group of rebel barons, it promised the protection of church rights, protection for the barons from illegal imprisonment, access to swift justice, and limitations on feudal payments to the Crown, to be implemented through a council of 25 barons."
Gadi Eisenkot,"Gadi Eizenkot or Eisenkot (Hebrew: גדי איזנקוט; born May 19, 1960) was the 21st Chief of General Staff of the Israel Defense Forces (February 16, 2015 – January 15, 2019). He is the originator of the so-called Dahiya doctrine."
Robert Einhorn,"The P5+1 refers to the UN Security Council's five permanent members (the P5); namely China, France, Russia, the United Kingdom, and the United States; plus Germany. The P5+1 is often referred to as the E3+3 by European countries."
Bill Huizenga,"William Patrick Huizenga ( HY-zing-gə; born January 31, 1969) is an American politician serving as the U.S. representative for Michigan's 2nd congressional district since 2011. The district covers much of Lake Michigan's western shore and many of Grand Rapids's suburbs, including Muskegon, Holland, Kentwood, and Grand Haven."
B.B. Sinha,Sinha is a surname commonly used in India. Sinha surname is from the Eastern part of India.
Aerojet Rocketdyne,"Aerojet Rocketdyne is an American manufacturer of rocket, hypersonic, and electric propulsive systems for space, defense, civil and commercial applications. Headquartered in Sacramento, California, the company is owned by Aerojet Rocketdyne Holdings."
Timothy J. Keating,"Timothy John Keating (born November 16, 1948) is a retired United States Navy admiral. During his career, he served as commander of Carrier Group Five, the United States 5th Fleet, the United States Northern Command and North American Aerospace Defense Command (NORAD), and United States Pacific Command."
Oliver Rosenberg,"Oliver Tree Nickell (born June 29, 1993) is an American singer-songwriter and filmmaker. Born in Santa Cruz, California, Tree signed to Atlantic Records in 2017 after his song ""When I'm Down"" went viral and released his debut studio album Ugly Is Beautiful in 2020."
Dov Hikind,"Dov Hikind (born June 30, 1950) is an American politician, activist, and radio talk show host in the state of New York.
Hikind is a former Democratic New York State Assemblyman representing Brooklyn's Assembly district 48, having held this position for 35 years – from January 1983 until December 2018."
Jerrold Nadler,"Jerrold Lewis Nadler (; born June 13, 1947) is an American lawyer and politician, serving as the U.S. representative for New York's 10th congressional district since 2013. A member of the Democratic Party, he is in his 15th term in Congress."
Official Israeli,"The Israeli population is linguistically and culturally diverse. Hebrew is the country's official language, and almost the entire population speaks it either as native speakers or proficiently as a second language."
Erdal Kuyumcu,"Istanbul's third electoral district is one of three divisions of the Istanbul electoral district for the purpose of elections to Grand National Assembly of Turkey.  It elects thirty-five members of parliament (deputies) to represent the district for a five-year term by the D'Hondt method, a party-list proportional representation system."
Patrick A. Mullin,"Patrick Michael Mullins (born February 5, 1992) is an American professional soccer player who plays as a forward.
Born in New Orleans, Mullins played for the Baton Rouge Capitals while in high school, then committed to play collegiately at the University of Maryland."
Frank LoBiondo,"Frank Alo LoBiondo (: born May 12, 1946) is an American businessman and politician who served as the U.S. representative for New Jersey's 2nd congressional district from 1995 to 2019. He is a member of the Republican Party."
Paul Ryan,"Paul Davis Ryan (born January 29, 1970) is an American retired politician who served as the 54th speaker of the United States House of Representatives from October 2015 to January 2019. He was the 2012 Republican Party vice presidential nominee running alongside Mitt Romney, losing to incumbent president Barack Obama and then-vice president Joe Biden."
Jason Chaffetz,"Jason E. Chaffetz (; born March 26, 1967) is an American retired politician who served as the U.S. representative for Utah's 3rd congressional district from 2009 until his retirement in 2017. He chaired the Committee on Oversight and Government Reform from 2015 until 2017."
Jennifer Psaki OLD,"Jennifer Mulhern Granholm (born February 5, 1959) is a Canadian-American politician, lawyer, educator, author, and political commentator serving as the 16th United States secretary of energy. A member of the Democratic Party, she was the 47th governor of Michigan from 2003 to 2011."
Mark Rutte,"Mark Rutte (Dutch: [ˈmɑr(ə)k ˈrʏtə] (listen); born 14 February 1967) is a Dutch politician serving as Prime Minister of the Netherlands since 2010 and Leader of the People's Party for Freedom and Democracy (VVD) since 2006.
After a business career working for Unilever, Rutte entered politics in 2002 on his appointment as State Secretary for Social Affairs and Employment by Prime Minister Jan Peter Balkenende of the Christian Democratic Appeal (CDA), after a coalition agreement guaranteed the VVD several seats in the cabinet."
Laura Holgate,Laura S. H. Holgate is an American diplomat who has served as the United States ambassador to the United Nations International Organizations in Vienna since 2022 and previously from 2016 to 2017. She also served as United States ambassador to the International Atomic Energy Agency from 2016 to 2017.
Amy Dudley,"Amy Dudley (née Robsart; 7 June 1532 – 8 September 1560) was the first wife of Robert Dudley, Earl of Leicester, favourite of Elizabeth I of England. She is primarily known for her death by falling down a flight of stairs, the circumstances of which have often been regarded as suspicious."
Timothy Kaine,"Timothy Michael Kaine (; born February 26, 1958) is an American lawyer and politician serving as the junior United States senator from Virginia since 2013. A member of the Democratic Party, he served as the 38th lieutenant governor of Virginia from 2002 to 2006 and 70th governor of Virginia from 2006 to 2010."
Kelly Ayotte,"Kelly Ann Ayotte ( AY-ott; born June 27, 1968) is an American attorney and politician who served as a United States Senator for New Hampshire from 2011 to 2017, and as the state's Attorney General from 2004 to 2009. She is a member of the Republican Party."
Bijan Namdar Zangeneh,"Bijan Namdar Zangeneh (Persian: بيژن نامدار زنگنه; born 21 September 1952) is an Iranian politician, who served as minister, at different cabinets after the Islamic Revolution, for 30 years. He lately served as Minister of Petroleum, from 2013 to 2021 in the cabinet led by Hassan Rouhani."
Bipartisan Senate Statement,"The Infrastructure Investment and Jobs Act (IIJA), commonly referred to as the Bipartisan Infrastructure Bill, and originally in the House as the INVEST in America Act (H.R. 3684), is a United States federal statute enacted by the 117th United States Congress and signed into law by President Joe Biden on November 15, 2021.
The act was initially a $715 billion infrastructure package that included provisions related to federal-aid highway, transit, highway safety, motor carrier, research, hazardous materials and rail programs of the Department of Transportation."
Jamal Abdi,Jamal Abdi Hassan Abdullah (born 10 October 1972) is a Qatari middle-distance runner. He competed in the 3000 metres steeplechase at the 1992 Summer Olympics and the 1996 Summer Olympics.
Mark Kirk,"Mark Steven Kirk (born September 15, 1959) is a retired American politician and attorney who served as a United States senator from Illinois from 2010 to 2017, and as the United States representative for Illinois's 10th congressional district from 2001 to 2010. A member of the Republican Party, Kirk describes himself as socially liberal and fiscally conservative.Born in Champaign, Illinois, Kirk graduated from Cornell University, the London School of Economics, and Georgetown University Law Center."
Dan Pfeiffer,"Howard Daniel Pfeiffer (born December 24, 1975) is an American podcaster and Obama White House staffer. He was the Senior Advisor to U.S. President Barack Obama for Strategy and Communications from 2013 to 2015.Pfeiffer was a long-time aide to Obama, serving in various press and communications roles throughout his 2008 campaign for the Presidency, on his presidential transition team, and in the Obama White House."
Monmouth University Public Poll,"Monmouth University is a private university in West Long Branch, New Jersey. Founded in 1933 as Monmouth Junior College, it became Monmouth College in 1956 and Monmouth University in 1995 after receiving its charter."
CREDO Action,"CREDO Mobile (formerly Working Assets Wireless) is an American mobile virtual network operator headquartered in San Francisco, California. CREDO Mobile's mobile network operator is Verizon Wireless.CREDO Mobile was purchased in September, 2021 by B. Riley Principal Investments.CREDO Mobile had a five star privacy rating from the Electronic Frontier Foundation in its 2017 company privacy policy and advocacy review."
David Montague,"Montague Corporation (commonly referred to as Montague Bikes) is an American company that designs, manufactures, and sells full-size folding bicycles. It is headquartered in Cambridge, Massachusetts."
Cristina Chaplain,"Entre Tinieblas (English: Dark Habits) is a 1983 Spanish black comedy film written and directed by Pedro Almodóvar and starring Julieta Serrano, Marisa Paredes and Chus Lampreave. The plot follows a cabaret singer who finds refuge in a convent of eccentric nuns, while the film is an exploration of the anachronistic situation of institutionalized religion in contemporary Spanish society."
K.T Mcfarland,"Kathleen Troia McFarland (born Kathleen M. Troia; July 22, 1951) is an American political candidate, former government official, and political commentator. She served as Deputy National Security Advisor under Michael Flynn for the first four months of the Trump administration."
Official unnamed Iranian,"On 5 December 2011, an American Lockheed Martin RQ-170 Sentinel unmanned aerial vehicle (UAV) was captured by Iranian forces near the city of Kashmar in northeastern Iran. The Iranian government announced that the UAV was brought down by its cyberwarfare unit which commandeered the aircraft and safely landed it, after initial reports from Western news sources disputedly claimed that it had been ""shot down""."
Marie E. Harf OLD,"""Les Deux Amants"" (Old French: ""Les Deus Amanz"", English: ""The Two Lovers"") is a Breton lai, a type of narrative poem, written by Marie de France sometime in the 12th century. The poem belongs to what is collectively known as The Lais of Marie de France."
Organization Iran's Atomic Energy,The Atomic Energy Organization of Iran (AEOI) is the main Iranian government agency responsible for operating nuclear energy and nuclear fuel cycle installations in Iran. AEOI is the primary organization responsible for nuclear technology research and development activities in Iran.
Brian Todd,"Brian Todd Collins (born April 1, 1986), known professionally as Kid Ink, is an American rapper, singer, and record producer from Los Angeles. He released his debut independent album Up & Away in 2012, following an EP titled Almost Home, and his first major studio album My Own Lane in 2014."
Yossi Melman,"Yossi Melman  (Hebrew: יוסי מלמן, born December 27, 1950) is an Israeli writer and journalist.  He was an intelligence and strategic affairs correspondent for the Haaretz newspaper, and in 2013 he joined The Jerusalem Post and its Hebrew sister paper Maariv in a similar, more analytical role covering also military issues."
Unnamed Israeli Citizen,"Israeli Jews or Jewish Israelis (Hebrew: יהודים ישראלים, romanized: Yehudim Yisraelim) are Israeli citizens and nationals who are Jewish through either their Jewish ethnicity and/or their adherence to Judaism. The term also includes the descendants of Jewish Israelis who have emigrated and settled outside of the State of Israel."
Ehud Barak,"Ehud Barak (Hebrew: אֵהוּד בָּרָק‎ , born Ehud Brog; 12 February 1942) is an Israeli general and politician who served as the tenth prime minister from 1999 to 2001. He was leader of the Labor Party until January 2011."
Zeev Bielski,"Ze'ev Bielski (Hebrew: זאב בילסקי, born 13 March 1949) is an Israeli politician who served as a member of the Knesset for Kadima between 2009 and 2013. He previously chaired the Jewish Agency and the World Zionist Organization and worked as a Jewish Agency emissary in South Africa."
Thomas E Donilon,"Thomas Edward Donilon (born May 14, 1955) is an American lawyer, business executive, and former government official who served as the 23rd National Security Advisor in the Obama administration from 2010 to 2013. Donilon also worked in the Carter and Clinton administrations, including as Chief of Staff of the U.S. State Department."
Ben Rhodes OLD,"Benjamin J. Rhodes (born February 21, 1997) is an American professional stock car racing driver. He competes full-time in the NASCAR Camping World Truck Series, driving the No."
Dan Coates,"Daniel Ray Coats (born May 16, 1943) is an American politician, attorney, and former diplomat. From 2017 to 2019, he served as the Director of National Intelligence in the Trump administration."
Richard Blumenthal,"Richard Blumenthal (; born February 13, 1946) is an American lawyer and politician serving as the senior United States senator from Connecticut, a seat he has held since 2011. A member of the Democratic Party, he is one of the wealthiest members of the Senate, with a net worth over $100 million."
Dennis C. Blair,"Dennis Cutler Blair (born February 4, 1947) is the former United States Director of National Intelligence and is a retired United States Navy admiral who was the commander of U.S. forces in the Pacific region. Blair was a career officer in the U.S. Navy and served in the White House during the presidencies of  both President Jimmy Carter and President Ronald Reagan."
Martin E. Dempsey,"Martin Edward Dempsey (born March 14, 1952), sometimes known as Marty Dempsey, is a retired United States Army general who served as the 18th chairman of the Joint Chiefs of Staff from October 1, 2011 until September 25, 2015. He previously served as the 37th chief of Staff of the Army from April 11, 2011, to September 7, 2011."
Kim Min-seok,"Kim Min-seok (born January 24, 1990) is a South Korean actor. He played the role of the main character in Shark: The Beginning (2021)."
Hossein Dehghan,"Hossein Dehghani Poudeh (Persian: حسین دهقانی پوده; born 2 March 1957), commonly known as Hossein Dehghan, is a former IRGC air force officer with the rank of brigadier general and the former minister of defense of Iran. He was designated for the position by President Hassan Rouhani on 4 August 2013 and confirmed by the parliament on 15 August."
Tasnim News Agency,"Tasnim News Agency (Persian: خبرگزاری تسنیم) is a private news agency in Iran launched in 2012. Its purpose is to cover a variety of political, social, economic and international subjects along with other fields."
Ralf Thomas,Ralph Philip Thomas MC (10 August 1915 – 17 March 2001) was an English film director. He is perhaps best remembered for directing the Doctor series of films.
Michael Douglas,"Michael Kirk Douglas (born September 25, 1944) is an American actor and producer. He has received numerous accolades, including two Academy Awards, five Golden Globe Awards, a Primetime Emmy Award, the Cecil B. DeMille Award, and the AFI Life Achievement Award.The eldest son of Kirk Douglas and Diana Dill, Douglas received his Bachelor of Arts in Drama from the University of California, Santa Barbara."
Lawmakers Republican,"The Republican Party, also referred to as the GOP (""Grand Old Party""), is one of the two major, contemporary political parties in the United States, along with its main historic rival, the Democratic Party.
The GOP was founded in 1854 by opponents of the Kansas–Nebraska Act, which allowed for the potential expansion of chattel slavery into the western territories."
Denis McDonough OLD,"Walking Tall is a 2004 American action film directed by Kevin Bray. A remake of the 1973 film of the same name, it stars Dwayne Johnson (credited as The Rock) and Johnny Knoxville."
EBRD,"The European Bank for Reconstruction and Development (EBRD) is an international financial institution founded in 1991. As a multilateral developmental investment bank, the EBRD uses investment as a tool to build market economies."
Igor Gramotkin,"Igor Ivanovich Gramotkin (Ukrainian: Ігор Іва́нович Гра́моткін (July 17, 1964) is the General Director of State Specialized Enterprise Chernobyl Nuclear Power Plant since 2005.


== Biography ==


=== Education ===
In 1988 he graduated in Tomsk Polytechnic institute as an engineer-physicist."
Chris Chris Christie,"Christopher James Christie (born September 6, 1962) is an American politician, lawyer, political commentator, lobbyist, and former federal prosecutor who served as the 55th governor of New Jersey from 2010 to 2018.
Christie, who was born in Newark, New Jersey, was raised in Livingston, New Jersey."
Reza Najafi,"Mohammad-Reza Najafi (Persian: محمدرضا نجفی) was an Iranian reformist politician and a member of the Parliament of Iran representing Tehran, Rey, Shemiranat and Eslamshahr electoral district.


== Career ==
Najafi was formerly the cultural manager of Amir Kabir University of Technology and economical deputy of Markazi Province governor."
Statement Kaspersky Lab,"Kaspersky Lab (; Russian: Лаборатория Касперского, tr. Laboratoriya Kasperskogo) is a Russian multinational cybersecurity and anti-virus provider headquartered in Moscow, Russia, and operated by a holding company in the United Kingdom."
Tzipi Hotovely,"Tzipi Hotovely (Hebrew: צִיפִּי חוֹטוֹבֵלִי, born 2 December 1978) is an Israeli diplomat and former politician who serves as the current Ambassador of Israel to the United Kingdom. She served as Deputy  Minister of Foreign Affairs, Minister of Diaspora Affairs, Minister of Settlement Affairs, and as a member of the Knesset for the Likud party."
J Street,"J Street (Hebrew: ג'יי סטריט) is a nonprofit liberal advocacy group based in the United States whose stated aim is to promote American leadership to end the Arab–Israeli and Israeli–Palestinian conflicts peacefully and diplomatically. J Street was incorporated on November 29, 2007.According to J Street, its political action committee, the J Street PAC, is ""the first and only federal Political Action Committee whose goal is to demonstrate that there is meaningful political and financial support to candidates for federal office from large numbers of Americans who believe a new direction in American policy will advance U.S. interests in the Middle East and promote real peace and security for Israel and the region"".J Street describes itself as ""the political home for pro-Israel, pro-peace Americans who want Israel to be secure, democratic and the national home of the Jewish people ..."
Statement AIPAC,"The American Israel Public Affairs Committee (AIPAC  AY-pak) is a lobbying group that advocates pro-Israel policies to the Congress and Executive Branch of the United States. The current president of AIPAC is Betsy Berns Korn.One of several pro-Israel lobbying organizations in the United States, AIPAC states that it has over 100,000 members, 17 regional offices, and ""a vast pool of donors."" Representative Brad Sherman (D-California) has called AIPAC ""the single most important organization in promoting the U.S.-Israel alliance."" In addition, the organization has been called one of the most powerful lobbying groups in the United States.Until 2021 AIPAC did not raise funds for political candidates itself, but its members raise money for candidates through political action committees unaffiliated with AIPAC and by other means."
Public Poll,"An opinion poll, often simply referred to as a poll or a survey, is a human research survey of public opinion from a particular sample. Opinion polls are usually designed to represent the opinions of a population by conducting a series of questions and then extrapolating generalities in ratio or within confidence intervals."
Jeremy Ben-Ami,"Jeremy Ben-Ami (born 1962) is the President of J Street, a liberal advocacy organization in the United States dedicated to promoting American leadership to end the Arab-Israeli and Israel-Palestinian conflicts peacefully and diplomatically. He is also the executive director of JStreetPAC, which endorses and raises money for federal candidates."
Hossein Mousavian,"Seyed Hossein Mousavian (Persian: سید حسین موسویان, born 1957 in Kashan) is an Iranian policymaker and scholar who served on Iran's nuclear diplomacy team in negotiations with the EU and International Atomic Energy Agency. He currently resides in the United States, where he is a visiting research scholar at Princeton University."
Steven Fulop,"Steven Michael Fulop (born February 28, 1977) is an American politician serving as the 49th and current mayor of Jersey City, New Jersey. A Democrat, he was formerly the Councilman for Jersey City's Ward E. On May 14, 2013, Fulop defeated incumbent mayor Jerramiah Healy.Fulop assumed the office of mayor on July 1, 2013."
Many officials,"In basketball, an official (usually called a referee) enforces the rules and maintains order in the game. The title of official also applies to the scorers and timekeepers, as well as other personnel that have an active task in maintaining the game."
Laurent Fabius,"Laurent Fabius (French: [lɔʁɑ̃ fabjys]; born 20 August 1946) is a French politician serving as President of the Constitutional Council since 8 March 2016. A member of the Socialist Party, he previously served as Prime Minister of France from 17 July 1984 to 20 March 1986."
Sung Kim,"Kim Il-sung (; Korean: 김일성, Korean pronunciation: [kimils͈ʌŋ]; born Kim Song-ju (김성주); 15 April 1912 – 8 July 1994) was a North Korean politician and the founder of North Korea, which he ruled from the country's establishment in 1948 until his death in 1994. He held the posts of Premier from 1948 to 1972 and President from 1972 to 1994."
Peter Cook,"Peter Edward Cook (17 November 1937 – 9 January 1995) was an English satirist and comedic actor. He was a leading figure of the British satire boom of the 1960s, and he was associated with the anti-establishment comedic movement that emerged in the United Kingdom in the late 1950s."
Michael R. Turner,"Michael Turner (born January 11, 1960) is an American politician serving as the U.S. representative for Ohio's 10th congressional district since 2003. He is a member of the Republican Party."
Ian Kearns,Gerard Kearns (born 4 October 1984) is an English actor. He is best known as Ian Gallagher in Shameless.
Kim Tae-woo,"Kim Tae-woo (Korean: 김태우; born May 12, 1981) is a South Korean singer, best known as the lead vocalist of boy band g.o.d. He debuted in 1999 as a member of g.o.d and continued as a solo artist after the group went on hiatus in 2006."
Lee Choon Geun,"The 2016 South Korean political scandal (Korean: 박근혜·최순실 게이트, Park Geun-hye–Choi Soon-sil gate) involves the influence of Choi Soon-sil, the daughter of shaman-esque cult leader Choi Tae-min, over President Park Geun-hye of South Korea.Widespread coverage of this South Korean political scandal began in late October 2016.  On November 29, Park offered to begin the process of removing herself from power."
Bill Clinton,"William Jefferson Clinton (né Blythe III; born August 19, 1946) is an American politician and attorney who served as the 42nd president of the United States from 1993 to 2001. He previously served as governor of Arkansas from 1979 to 1981 and again from 1983 to 1992, and as attorney general of Arkansas from 1977 to 1979."
"U.N.
Meir Javedanfar",Esmail Qaani (also spelled as Ismail Qaani Persian: اسماعیل قاآنی; born 8 August 1957) is an Iranian brigadier general in the Islamic Revolutionary Guard Corps and commander of its Quds Force — a division primarily responsible for extraterritorial military and clandestine operations. Leader of Iran Ali Khamenei appointed Qaani as Commander of the Quds Force on 3 January 2020 after General Qasem Soleimani was assassinated by a targeted U.S. drone strike near Baghdad International Airport.
Austin Long,"Austin is the capital city of the U.S. state of Texas, as well as the seat and largest city of Travis County, with portions extending into Hays and Williamson counties. Incorporated on December 27, 1839, it is the 11th-most populous city in the United States, the fourth-most-populous city in Texas, the second-most-populous state capital city after Phoenix, Arizona, and the most populous state capital that is not also the most populous city in its state."
Boris Makarenko,"St. Nicholas Cathedral is a Ukrainian Catholic cathedral located in the Ukrainian Village neighborhood of Chicago, Illinois, United States."
Jack Lew,"Jacob Joseph Lew (born August 29, 1955) is an American attorney and politician who served as the 76th United States Secretary of the Treasury from 2013 to 2017. A member of the Democratic Party, he also served as the 25th White House Chief of Staff from 2012 to 2013 and Director of the Office of Management and Budget in both the Clinton Administration and Obama Administration."
Kevin McCarthy,"Kevin McCarthy (February 15, 1914 – September 11, 2010) was an American stage, film and television actor. He is best remembered for portraying the male lead in the horror science fiction film Invasion of the Body Snatchers (1956).Following several television guest roles, McCarthy gave his first credited film performance in Death of a Salesman (1951), portraying Biff Loman to Fredric March's Willy Loman."
Thomas Countryman (OLD),"Operation Countryman was an investigation into police corruption in London in the late 1970s. The operation was conducted between 1978–1982 at a total cost of £3 million and led to eight police officers being prosecuted, although none were convicted."
Marillyn Hewson,"Marillyn Adams Hewson (born December 27, 1953) is an American businesswoman, and the strategic advisor to the CEO of aerospace and defense manufacturing company Lockheed Martin. She had previously served as chairman, president and CEO from January 2013 to June 2020."
Mohammad Ali Jafari,"Major General Mohammad Ali Jafari (Persian: محمدعلی جعفری, born 1 September 1957, also known as Aziz Jafari and Ali Jafari) is a former commander-in-chief of the Iranian Revolutionary Guard Corps from 2007 to 2019. He was appointed by Supreme Leader Ali Khamenei on 1 September 2007, succeeding Major General Yahya Rahim Safavi.According to a 2 September 2007 report by Radio Free Europe, Radio Farda has described Jafari has been close to the conservative subfaction, which includes Mohsen Rezaee, the secretary of the Expediency Discernment Council and former commander of the IRGC and Mohammad Bagher Ghalibaf, a former IRGC member and the mayor of Tehran."
Statement Fars News Agency,"News agencies were created to provide newspapers with information about a wide variety of news events happening around the world. Initially the agencies were meant to provide the news items only to newspapers, but with the passage of time the rapidly developing modern mediums such as radio, television and Internet too adapted the services of news agencies."
Unnamed Iranian Media,"On 5 December 2011, an American Lockheed Martin RQ-170 Sentinel unmanned aerial vehicle (UAV) was captured by Iranian forces near the city of Kashmar in northeastern Iran. The Iranian government announced that the UAV was brought down by its cyberwarfare unit which commandeered the aircraft and safely landed it, after initial reports from Western news sources disputedly claimed that it had been ""shot down""."
United Nations U.S. Mission,"The United States ambassador to the United Nations is the leader of the U.S. delegation, the U.S. Mission to the United Nations. The position is formally known as the permanent representative of the United States of America to the United Nations, with the rank and status of ambassador extraordinary and plenipotentiary, and representative of the United States of America in the United Nations Security Council."
Aengus Kelly,"AerCap is the world's largest aircraft leasing company after acquiring International Lease Finance Corporation (ILFC) in 2014. As of June 2020, it had 1,035 owned, managed aircraft in its portfolio."
The Pentagon,"The Pentagon is the headquarters building of the United States Department of Defense. It was constructed on an accelerated schedule during World War II. As a symbol of the U.S. military, the phrase The Pentagon is often used as a metonym for the Department of Defense and its leadership."
Go Myung,"Ja Myung Go (Korean: 자명고; RR: Jamyeonggo; also known as Princess Ja-myung) is a 2009 South Korean television series starring Jung Ryeo-won, Park Min-young and Jung Kyung-ho. It aired on SBS from March 9 to July 21, 2009 on Mondays and Tuesdays at 21:55 (KST) for 39 episodes."
Official Iraqi,"Estimates of the casualties from the Iraq War (beginning with the 2003 invasion of Iraq, and the ensuing occupation and insurgency and civil war) have come in several forms, and those estimates of different types of Iraq War casualties vary greatly.
Estimating war-related deaths poses many challenges."
Government Iraqi,"The federal government of Iraq is defined under the current Constitution, approved in 2005, as an Islamic, democratic, federal parliamentary republic. The federal government is composed of the executive, legislative, and judicial branches, as well as numerous independent commissions."
Cliff Kupchan,"Cliff Kupchan is an American political analyst and former government official. He is the chairman of the political risk consulting and advisory firm Eurasia Group, where he specializes in Russia and Iran."
Oh Joon,"Oh Hee-joon is a South Korean actor. He is known for his roles in dramas such as Gangnam Beauty, How to Buy a Friend, 365: Repeat the Year, Cheese in the Trap and All of Us Are Dead."
Li Hong,"Li Hong (Chinese: 李弘) (652 – 25 May 675), formally Emperor Xiaojing (孝敬皇帝, literally, ""the filial and respectful emperor"") with the temple name of Yizong (義宗), was a crown prince (not emperor, despite his formal title) of the Chinese dynasty Tang Dynasty. He was the fifth son of Emperor Gaozong and the oldest son of his second wife Empress Wu (later known as Wu Zetian), and he was made the crown prince in 656."
Andrei Lankov,"Andrei Nikolaevich Lankov (Russian: Андрей Николаевич Ланьков; born July 26, 1963) is a Russian scholar of Asia and a specialist in Korean studies and Director of Korea Risk Group, the parent company of NK News and NK Pro.


== Early life and education ==
Lankov was born on July 26, 1963, in Leningrad, Soviet Union (modern day Saint Petersburg)."
F. Gregory Gause III,"F. Gregory Gause, III is  the John H. Lindsey ’44 Chair, Professor of International Affairs and Head of the International Affairs Department at the Bush School of Government and Public Service at Texas A&M. His specialty is the international politics in  the Middle East    
He received  A.B. in Politics from St. Joseph's University in 1980 and his Phd from Harvard University in 1987  .He was previously affiliated with Columbia University (1987-1995) and University of Vermont (1995 to 2014)."
Lobbyist Unnamed,"Nick of Time is a 1995 American political action thriller film produced and directed by John Badham and written by Patrick Sheane Duncan. It stars Johnny Depp, Christopher Walken, Charles S. Dutton, and Courtney Chase."
Report State Department,"The United States Department of State (DOS), or State Department, is an executive department of the U.S. federal government responsible for the nation's foreign policy and international relations. Equivalent to the ministry of foreign affairs of other nations, its primary duties are advising the U.S. president, administering diplomatic missions, negotiating international treaties and agreements, and representing the U.S. at the United Nations."
Farhan Haq,"Mere Humsafar (transl. My Soulmate) is a Pakistani drama television series produced by Humayun Saeed and Shehzad Naseeb under bannner Six Sigma Plus, directed by Qasim Ali Mureed and first aired on 30 December 2021 on ARY Digital as a part of night programming. It features Hania Amir and Farhan Saeed in lead roles along with Saba Hameed, Waseem Abbas, Samina Ahmed, Zoya Nasir and Angeline Malik in supporting roles."
Cho Tae-yong,"Cho Tae-yong (born 1956) is a South Korean career diplomat with over three decades of experience who has served as South Korea's Deputy National Security Advisor since October 2015.Cho has extensive experience in a range of high-level diplomatic assignments dealing with the United States and North Korea.  In November 2016, he represented South Korea in talks with Michael Flynn and other members of then-U.S. President-elect Donald Trump's foreign policy team on North Korea."
Ernie Brown,"Ernie Lively (born Ernest Wilson Brown Jr.; January 29, 1947 – June 3, 2021) was an American actor and acting coach, and the father of actors Lori Lively,  Jason Lively, Robyn Lively, Eric Lively, and Blake Lively.


== Life and career ==
Lively was born Ernest Wilson Brown Jr."
Nuclear deal/Neg With Iran Critics,"The foreign relations of the People's Republic of China (PRC), commonly known to most states as China, has full diplomatic relations with 178 out of the other 193 United Nations member states, Cook Islands, Niue and the State of Palestine. Since 2019, China has had the most diplomatic missions of any country in the world."
Statement Fox News,"The Fox News Channel, abbreviated FNC, commonly known as Fox News, and stylized in all caps, is an American multinational conservative cable news television channel based in New York City. It is owned by Fox News Media, which itself is owned by the Fox Corporation."
Ted Cruz,"Rafael Edward ""Ted"" Cruz (; born December 22, 1970) is an American politician and attorney serving as the junior United States senator for Texas since 2013. A member of the Republican Party, Cruz served as Solicitor General of Texas from 2003 to 2008."
